Jacob de La Rose,STL,1996-10-19 16:36:00.693289,1000,LW,13,0,1,8,22
Chase De Leo,ANA,1996-10-19 16:36:00.693868,1000,C,1,0,0,0,1
Jean-Sebastien Dea,BUF,1995-10-20 16:36:00.694452,1000,C,1,0,0,0,0
Anthony DeAngelo,NYR,1996-10-19 16:36:00.694985,1000,D,6,0,1,6,3
Alex DeBrincat,CHI,1998-10-19 16:36:00.695519,1000,RW,52,32,24,22,70
Jake DeBrusk,BOS,1997-10-19 16:36:00.696166,1000,LW,41,5,9,20,33
Danny DeKeyser,DET,1991-10-21 16:36:00.696715,1000,D,47,4,8,81,44
Michael Del Zotto,CBJ,1991-10-21 16:36:00.697298,1000,D,53,4,9,54,125
Ty Dellandrea,DAL,2001-10-18 16:36:00.697901,1000,C,26,3,2,10,47
Dylan DeMelo,WPG,1994-10-20 16:36:00.698950,1000,D,52,0,9,58,76
Jason Demers,ARI,1989-10-21 16:36:00.699699,1000,D,41,0,4,30,69
Grigori Denisenko,FLA,2001-10-18 16:36:00.700735,1000,LW,7,0,4,2,15
Travis Dermott,TOR,1997-10-19 16:36:00.701533,1000,D,51,2,4,35,44
Nicolas Deslauriers,ANA,1992-10-20 16:36:00.702113,1000,LW,49,5,5,20,136
Phillip Di Giuseppe,NYR,1994-10-20 16:36:00.702676,1000,LW,31,1,7,16,78
Jason Dickinson,DAL,1996-10-19 16:36:00.703247,1000,C,51,7,8,49,78
Brenden Dillon,WSH,1991-10-21 16:36:00.703830,1000,D,56,2,17,61,143
Christian Djoos,DET,1995-10-20 16:36:00.704718,1000,D,36,2,9,26,10
Noah Dobson,NYI,2000-10-18 16:36:00.705849,1000,D,46,3,11,59,40
Max Domi,CBJ,1996-10-19 16:36:00.706595,1000,LW,54,9,15,10,15
Ryan Donato,SJS,1997-10-19 16:36:00.707160,1000,C,50,6,14,21,50
Joonas Donskoi,COL,1993-10-20 16:36:00.707747,1000,RW,51,17,14,25,14
Drew Doughty,LAK,1990-10-21 16:36:00.708633,1000,D,56,8,26,83,91
Nic Dowd,WSH,1991-10-21 16:36:00.709482,1000,C,56,11,4,40,109
Justin Dowling,DAL,1991-10-21 16:36:00.710090,1000,C,27,1,4,3,17
Leon Draisaitl,EDM,1996-10-19 16:36:00.710688,1000,C,56,31,53,12,37
Sheldon Dries,COL,1995-10-20 16:36:00.711233,1000,C,3,0,0,0,6
Jonathan Drouin,MTL,1996-10-19 16:36:00.712033,1000,LW,44,2,21,7,42
Jamie Drysdale,ANA,2003-10-18 16:36:00.713441,1000,D,24,3,5,23,7
Dillon Dube,CGY,1999-10-19 16:36:00.714723,1000,C,51,11,11,14,59
Pierre-Luc Dubois,TOT,1999-10-19 16:36:00.715326,1000,LW,46,9,12,26,59
Pierre-Luc Dubois,WPG,1999-10-19 16:36:00.716731,1000,LW,41,8,12,23,57
Pierre-Luc Dubois,CBJ,1999-10-19 16:36:00.717538,1000,LW,5,1,0,3,2
Matt Duchene,NSH,1991-10-21 16:36:00.718132,1000,C,34,6,7,10,30
Anthony Duclair,FLA,1996-10-19 16:36:00.718673,1000,LW,43,10,22,9,32
Mathew Dumba,MIN,1995-10-20 16:36:00.719457,1000,D,51,6,15,75,74
Brian Dumoulin,PIT,1992-10-20 16:36:00.720611,1000,D,41,4,10,55,63
Vince Dunn,STL,1997-10-19 16:36:00.721535,1000,D,43,6,14,51,36
Joshua Dunne,CBJ,1999-10-19 16:36:00.722216,1000,C,6,0,0,7,12
Christian Dvorak,ARI,1997-10-19 16:36:00.722995,1000,C,56,17,14,45,48
Ryan Dzingel,TOT,1993-10-20 16:36:00.723566,1000,C,40,8,5,10,44
Ryan Dzingel,OTT,1993-10-20 16:36:00.724114,1000,C,29,6,3,7,34
Ryan Dzingel,CAR,1993-10-20 16:36:00.724654,1000,C,11,2,2,3,10
Cody Eakin,BUF,1992-10-20 16:36:00.725233,1000,C,46,3,4,20,33
Jordan Eberle,NYI,1991-10-21 16:36:00.725784,1000,RW,55,16,17,18,30
Alexander Edler,VAN,1987-10-22 16:36:00.726322,1000,D,52,0,8,118,80
Joel Edmundson,MTL,1994-10-20 16:36:00.727100,1000,D,55,3,10,75,98
Nikolaj Ehlers,WPG,1997-10-19 16:36:00.727657,1000,LW,47,21,25,12,26
Jack Eichel,BUF,1997-10-19 16:36:00.728193,1000,C,21,2,16,15,20
Aaron Ekblad,FLA,1997-10-19 16:36:00.728731,1000,D,35,11,11,27,24
Mattias Ekholm,NSH,1991-10-21 16:36:00.729366,1000,D,48,6,17,46,23
Oliver Ekman-Larsson,ARI,1992-10-20 16:36:00.729918,1000,D,46,3,21,26,72
Lars Eller,WSH,1990-10-21 16:36:00.730453,1000,C,44,8,15,16,36
Ryan Ellis,NSH,1991-10-21 16:36:00.732209,1000,D,35,5,13,63,21
Pierre Engvall,TOR,1997-10-19 16:36:00.734686,1000,LW,42,7,5,12,43
Tyler Ennis,EDM,1990-10-21 16:36:00.736741,1000,C,30,3,6,6,43
Mackenzie Entwistle,CHI,2000-10-18 16:36:00.737780,1000,RW,5,1,1,2,10
Loui Eriksson,VAN,1986-10-22 16:36:00.738623,1000,LW,7,0,1,1,1
Joel Eriksson Ek,MIN,1997-10-19 16:36:00.739205,1000,C,56,19,11,37,105
Adam Erne,DET,1996-10-19 16:36:00.739759,1000,LW,45,11,9,16,82
Jake Evans,MTL,1997-10-19 16:36:00.740372,1000,C,47,3,10,26,79
Robby Fabbri,DET,1996-10-19 16:36:00.740933,1000,C,30,10,8,17,34
Dante Fabbro,NSH,1999-10-19 16:36:00.741484,1000,D,40,2,10,57,32
Radek Faksa,DAL,1994-10-20 16:36:00.742347,1000,C,55,6,8,45,100
Joel Farabee,PHI,2001-10-18 16:36:00.743354,1000,LW,55,20,18,21,48
David Farrance,NSH,2000-10-18 16:36:00.744042,1000,D,2,0,0,1,1
Hudson Fasching,ARI,1996-10-19 16:36:00.744609,1000,RW,5,0,0,1,6
Jesper Fast,CAR,1992-10-20 16:36:00.745201,1000,RW,46,6,13,23,78
Justin Faulk,STL,1993-10-20 16:36:00.745973,1000,D,56,7,18,87,127
Mario Ferraro,SJS,1999-10-19 16:36:00.746543,1000,D,56,1,16,96,155
Kevin Fiala,MIN,1997-10-19 16:36:00.747085,1000,LW,50,20,20,13,27
Valtteri Filppula,DET,1985-10-22 16:36:00.747867,1000,C,38,6,9,15,9
Christian Fischer,ARI,1998-10-19 16:36:00.749099,1000,RW,52,3,8,27,148
Haydn Fleury,TOT,1997-10-19 16:36:00.751929,1000,D,47,3,1,55,63
Haydn Fleury,CAR,1997-10-19 16:36:00.753588,1000,D,35,1,0,40,46
Haydn Fleury,ANA,1997-10-19 16:36:00.754303,1000,D,12,2,1,15,17
Warren Foegele,CAR,1997-10-19 16:36:00.754863,1000,LW,53,10,10,12,60
Steven Fogarty,BUF,1994-10-20 16:36:00.755411,1000,C,9,1,2,10,4
Marcus Foligno,MIN,1992-10-20 16:36:00.755953,1000,LW,39,11,15,17,109
Nick Foligno,TOT,1988-10-21 16:36:00.756486,1000,LW,49,7,13,37,133
Nick Foligno,TOR,1988-10-21 16:36:00.757597,1000,LW,7,0,4,2,24
Callan Foote,TBL,1999-10-19 16:36:00.758134,1000,D,35,1,2,29,39
Nolan Foote,NJD,2001-10-18 16:36:00.758666,1000,LW,6,1,1,1,5
Derek Forbort,WPG,1993-10-20 16:36:00.759231,1000,D,56,2,10,115,80
Alex Formenton,OTT,2000-10-18 16:36:00.759774,1000,LW,20,4,2,8,23
Filip Forsberg,NSH,1995-10-20 16:36:00.760307,1000,C,39,12,20,14,47
Gustav Forsling,FLA,1997-10-19 16:36:00.760838,1000,D,43,5,12,42,30
Liam Foudy,CBJ,2001-10-18 16:36:00.761371,1000,C,24,0,4,5,13
Cam Fowler,ANA,1992-10-20 16:36:00.761901,1000,D,56,5,18,36,27
Adam Fox,NYR,1999-10-19 16:36:00.762552,1000,D,55,5,42,102,23
Trent Frederic,BOS,1999-10-19 16:36:00.763097,1000,C,42,4,1,15,61
Mark Friedman,TOT,1996-10-19 16:36:00.763637,1000,D,9,2,1,7,14
Mark Friedman,PIT,1996-10-19 16:36:00.764752,1000,D,5,2,1,5,9
Mark Friedman,PHI,1996-10-19 16:36:00.765685,1000,D,4,0,0,2,5
Martin Frk,LAK,1994-10-20 16:36:00.766634,1000,RW,1,0,0,0,1
Byron Froese,CGY,1992-10-20 16:36:00.767405,1000,C,6,1,0,4,8
Michael Frolik,MTL,1989-10-21 16:36:00.768707,1000,LW,8,0,0,1,9
Morgan Frost,PHI,2000-10-18 16:36:00.770192,1000,C,2,0,0,0,0
Kurtis Gabriel,SJS,1994-10-20 16:36:00.775686,1000,RW,11,0,0,10,46
Jonah Gadjovich,VAN,1999-10-19 16:36:00.776287,1000,LW,1,0,0,0,1
