Evgenii Dadonov,OTT,1990-10-21,1000.0,RW,55,13,7,26,38
Rasmus Dahlin,BUF,2001-10-18,1000.0,D,56,5,18,45,80
Michael Dal Colle,NYI,1997-10-19,1000.0,LW,26,1,3,9,32
Phillip Danault,MTL,1994-10-20,1000.0,C,53,5,19,28,76
Calvin de Haan,CHI,1992-10-20,1000.0,D,44,1,9,85,99
Jake DeBrusk,BOS,1997-10-19,1000.0,LW,41,5,9,20,33
Danny DeKeyser,DET,1991-10-21,1000.0,D,47,4,8,81,44
Michael Del Zotto,CBJ,1991-10-21,1000.0,D,53,4,9,54,125
Ty Dellandrea,DAL,2001-10-18,1000.0,C,26,3,2,10,47
Dylan DeMelo,WPG,1994-10-20,1000.0,D,52,0,9,58,76
Jason Demers,ARI,1989-10-21,1000.0,D,41,0,4,30,69
Travis Dermott,TOR,1997-10-19,1000.0,D,51,2,4,35,44
Phillip Di Giuseppe,NYR,1994-10-20,1000.0,LW,31,1,7,16,78
Jason Dickinson,DAL,1996-10-19,1000.0,C,51,7,8,49,78
Brenden Dillon,WSH,1991-10-21,1000.0,D,56,2,17,61,143
Christian Djoos,DET,1995-10-20,1000.0,D,36,2,9,26,10
Noah Dobson,NYI,2000-10-18,1000.0,D,46,3,11,59,40
Max Domi,CBJ,1996-10-19,1000.0,LW,54,9,15,10,15
Ryan Donato,SJS,1997-10-19,1000.0,C,50,6,14,21,50
Joonas Donskoi,COL,1993-10-20,1000.0,RW,51,17,14,25,14
Drew Doughty,LAK,1990-10-21,1000.0,D,56,8,26,83,91
Nic Dowd,WSH,1991-10-21,1000.0,C,56,11,4,40,109
Justin Dowling,DAL,1991-10-21,1000.0,C,27,1,4,3,17
Leon Draisaitl,EDM,1996-10-19,1000.0,C,56,31,53,12,37
Jonathan Drouin,MTL,1996-10-19,1000.0,LW,44,2,21,7,42
Jamie Drysdale,ANA,2003-10-18,1000.0,D,24,3,5,23,7
Dillon Dube,CGY,1999-10-19,1000.0,C,51,11,11,14,59
Pierre-Luc Dubois,TOT,1999-10-19,1000.0,LW,46,9,12,26,59
Pierre-Luc Dubois,WPG,1999-10-19,1000.0,LW,41,8,12,23,57
Matt Duchene,NSH,1991-10-21,1000.0,C,34,6,7,10,30
Mathew Dumba,MIN,1995-10-20,1000.0,D,51,6,15,75,74
Brian Dumoulin,PIT,1992-10-20,1000.0,D,41,4,10,55,63
Vince Dunn,STL,1997-10-19,1000.0,D,43,6,14,51,36
Christian Dvorak,ARI,1997-10-19,1000.0,C,56,17,14,45,48
Ryan Dzingel,TOT,1993-10-20,1000.0,C,40,8,5,10,44
Ryan Dzingel,OTT,1993-10-20,1000.0,C,29,6,3,7,34
Cody Eakin,BUF,1992-10-20,1000.0,C,46,3,4,20,33
Jordan Eberle,NYI,1991-10-21,1000.0,RW,55,16,17,18,30
Alexander Edler,VAN,1987-10-22,1000.0,D,52,0,8,118,80
Joel Edmundson,MTL,1994-10-20,1000.0,D,55,3,10,75,98
Nikolaj Ehlers,WPG,1997-10-19,1000.0,LW,47,21,25,12,26
Jack Eichel,BUF,1997-10-19,1000.0,C,21,2,16,15,20
Aaron Ekblad,FLA,1997-10-19,1000.0,D,35,11,11,27,24
Mattias Ekholm,NSH,1991-10-21,1000.0,D,48,6,17,46,23
Oliver Ekman-Larsson,ARI,1992-10-20,1000.0,D,46,3,21,26,72
Lars Eller,WSH,1990-10-21,1000.0,C,44,8,15,16,36
Ryan Ellis,NSH,1991-10-21,1000.0,D,35,5,13,63,21
Pierre Engvall,TOR,1997-10-19,1000.0,LW,42,7,5,12,43
Tyler Ennis,EDM,1990-10-21,1000.0,C,30,3,6,6,43
Joel Eriksson Ek,MIN,1997-10-19,1000.0,C,56,19,11,37,105
Adam Erne,DET,1996-10-19,1000.0,LW,45,11,9,16,82
Jake Evans,MTL,1997-10-19,1000.0,C,47,3,10,26,79
